# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-05 14:01:46 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427948 PHEASANT BRANCH AT MIDDLETON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427948
#            TS   parameter     statistic     Description
#        154983       00060     00003     Discharge, cubic feet per second (Mean)
#        154986       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)
#        154988       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)
#        154990       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        154991       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        154992       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        154993       00045     00006     Precipitation, total, inches (Sum)
#        154994       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154995       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154996       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154997       00631     00003     Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen (Mean)
#        154999       00625     00003     Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen (Mean)
#        155001       00608     00003     Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154983_00060_00003	154983_00060_00003_cd	154986_00671_00003	154986_00671_00003_cd	154988_00665_00003	154988_00665_00003_cd	154990_00095_00001	154990_00095_00001_cd	154991_00095_00002	154991_00095_00002_cd	154992_00095_00003	154992_00095_00003_cd	154993_00045_00006	154993_00045_00006_cd	154994_00010_00001	154994_00010_00001_cd	154995_00010_00002	154995_00010_00002_cd	154996_00010_00003	154996_00010_00003_cd	154997_00631_00003	154997_00631_00003_cd	154999_00625_00003	154999_00625_00003_cd	155001_00608_00003	155001_00608_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427948	1974-07-01	1.60	A																								
USGS	05427948	1974-07-02	1.60	A																								
USGS	05427948	1974-07-03	1.50	A																								
USGS	05427948	1974-07-04	1.50	A																								
USGS	05427948	1974-07-05	1.50	A																								
USGS	05427948	1974-07-06	1.40	A																								
USGS	05427948	1974-07-07	1.40	A																								
USGS	05427948	1974-07-08	1.40	A																								
USGS	05427948	1974-07-09	1.40	A																								
USGS	05427948	1974-07-10	1.60	A																								
USGS	05427948	1974-07-11	1.30	A																								
USGS	05427948	1974-07-12	1.30	A																								
USGS	05427948	1974-07-13	1.40	A																								
USGS	05427948	1974-07-14	1.40	A																								
USGS	05427948	1974-07-15	1.60	A																								
USGS	05427948	1974-07-16	1.60	A																								
USGS	05427948	1974-07-17	1.60	A																								
USGS	05427948	1974-07-18	1.80	A																								
USGS	05427948	1974-07-19	1.80	A																								
USGS	05427948	1974-07-20	1.60	A																								
USGS	05427948	1974-07-21	1.60	A																								
USGS	05427948	1974-07-22	2.00	A																								
USGS	05427948	1974-07-23	1.80	A																								
USGS	05427948	1974-07-24	1.80	A																								
USGS	05427948	1974-07-25	2.70	A																								
USGS	05427948	1974-07-26	1.60	A																								
USGS	05427948	1974-07-27	1.30	A																								
USGS	05427948	1974-07-28	1.30	A																								
USGS	05427948	1974-07-29	1.30	A																								
USGS	05427948	1974-07-30	1.30	A																								
USGS	05427948	1974-07-31	1.10	A																								
USGS	05427948	1974-08-01	1.10	A																								
USGS	05427948	1974-08-02	1.10	A																								
USGS	05427948	1974-08-03	1.10	A																								
USGS	05427948	1974-08-04	2.00	A																								
USGS	05427948	1974-08-05	1.40	A																								
USGS	05427948	1974-08-06	1.30	A																								
USGS	05427948	1974-08-07	1.30	A																								
USGS	05427948	1974-08-08	1.10	A																								
USGS	05427948	1974-08-09	1.10	A																								
USGS	05427948	1974-08-10	1.30	A																								
USGS	05427948	1974-08-11	1.30	A																								
USGS	05427948	1974-08-12	1.30	A																								
USGS	05427948	1974-08-13	1.50	A																								
USGS	05427948	1974-08-14	1.40	A																								
USGS	05427948	1974-08-15	1.30	A																								
USGS	05427948	1974-08-16	1.80	A																								
USGS	05427948	1974-08-17	1.60	A																								
USGS	05427948	1974-08-18	1.30	A																								
USGS	05427948	1974-08-19	1.30	A																								
USGS	05427948	1974-08-20	1.30	A																								
USGS	05427948	1974-08-21	1.40	A																								
USGS	05427948	1974-08-22	1.80	A																								
