# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-05 14:01:09 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427910 SIXMILE CREEK @ COUNTY TRNK HGHWY M NR WAUNAKEE,WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427910
#            TS   parameter     statistic     Description
#        154934       00060     00003     Discharge, cubic feet per second (Mean)
#        154935       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154936       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154937       00010     00003     Temperature, water, degrees Celsius (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154934_00060_00003	154934_00060_00003_cd	154935_00010_00001	154935_00010_00001_cd	154936_00010_00002	154936_00010_00002_cd	154937_00010_00003	154937_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427910	2012-07-26	24.3	A:e						
USGS	05427910	2012-07-27	15.1	A:e						
USGS	05427910	2012-07-28	12.5	A:e						
USGS	05427910	2012-07-29	12.2	A:e						
USGS	05427910	2012-07-30	11.1	A:e						
USGS	05427910	2012-07-31	11.4	A:e						
USGS	05427910	2012-08-01	11.9	A:e						
USGS	05427910	2012-08-02	11.1	A:e						
USGS	05427910	2012-08-03	11.5	A:e						
USGS	05427910	2012-08-04	11.0	A:e						
USGS	05427910	2012-08-05	10.3	A:e						
USGS	05427910	2012-08-06	10.0	A:e						
USGS	05427910	2012-08-07	10.3	A:e						
USGS	05427910	2012-08-08	10.2	A						
USGS	05427910	2012-08-09	9.80	A						
USGS	05427910	2012-08-10	10.9	A						
USGS	05427910	2012-08-11	10.4	A						
USGS	05427910	2012-08-12	10.1	A						
USGS	05427910	2012-08-13	9.93	A						
USGS	05427910	2012-08-14	10.2	A						
USGS	05427910	2012-08-15	10.5	A						
USGS	05427910	2012-08-16	11.9	A						
USGS	05427910	2012-08-17	11.1	A						
USGS	05427910	2012-08-18	10.9	A						
USGS	05427910	2012-08-19	10.7	A						
USGS	05427910	2012-08-20	10.5	A						
USGS	05427910	2012-08-21	9.73	A						
USGS	05427910	2012-08-22	9.73	A						
USGS	05427910	2012-08-23	10.2	A						
USGS	05427910	2012-08-24	9.98	A						
USGS	05427910	2012-08-25	9.96	A						
USGS	05427910	2012-08-26	9.49	A						
USGS	05427910	2012-08-27	10.3	A						
USGS	05427910	2012-08-28	10.0	A						
USGS	05427910	2012-08-29	10.6	A						
USGS	05427910	2012-08-30	11.2	A						
USGS	05427910	2012-08-31	9.78	A						
USGS	05427910	2012-09-01	9.11	A						
USGS	05427910	2012-09-02	9.59	A						
USGS	05427910	2012-09-03	10.2	A						
USGS	05427910	2012-09-04	10.3	A						
USGS	05427910	2012-09-05	10.3	A						
USGS	05427910	2012-09-06	9.54	A						
USGS	05427910	2012-09-07	8.66	A						
USGS	05427910	2012-09-08	8.77	A						
USGS	05427910	2012-09-09	11.0	A						
USGS	05427910	2012-09-10	10.9	A						
USGS	05427910	2012-09-11	11.3	A						
USGS	05427910	2012-09-12	10.1	A						
USGS	05427910	2012-09-13	8.23	A						
USGS	05427910	2012-09-14	8.54	A						
USGS	05427910	2012-09-15	8.46	A						
USGS	05427910	2012-09-16	8.72	A						
USGS	05427910	2012-09-17	7.59	A						
USGS	05427910	2012-09-18	7.46	A						
USGS	05427910	2012-09-19	10.2	A						
USGS	05427910	2012-09-20	8.44	A						
USGS	05427910	2012-09-21	8.34	A						
USGS	05427910	2012-09-22	8.78	A						
USGS	05427910	2012-09-23	8.42	A						
USGS	05427910	2012-09-24	9.21	A						
USGS	05427910	2012-09-25	8.64	A						
USGS	05427910	2012-09-26	8.38	A						
USGS	05427910	2012-09-27	7.83	A						
USGS	05427910	2012-09-28	8.44	A						
USGS	05427910	2012-09-29	8.13	A						
USGS	05427910	2012-09-30	8.80	A						
USGS	05427910	2012-10-01	8.20	A						
USGS	05427910	2012-10-02	8.30	A						
USGS	05427910	2012-10-03	9.06	A						
USGS	05427910	2012-10-04	9.06	A						
USGS	05427910	2012-10-05	9.35	A						
USGS	05427910	2012-10-06	9.13	A						
USGS	05427910	2012-10-07	8.76	A						
USGS	05427910	2012-10-08	11.0	A						
USGS	05427910	2012-10-09	10.6	A						
USGS	05427910	2012-10-10	9.22	A						
USGS	05427910	2012-10-11	9.55	A						
USGS	05427910	2012-10-12	8.98	A						
USGS	05427910	2012-10-13	12.1	A						
USGS	05427910	2012-10-14	30.9	A						
USGS	05427910	2012-10-15	29.4	A						
USGS	05427910	2012-10-16	16.9	A						
USGS	05427910	2012-10-17	15.5	A						
USGS	05427910	2012-10-18	22.8	A						
USGS	05427910	2012-10-19	20.0	A						
USGS	05427910	2012-10-20	17.1	A						
USGS	05427910	2012-10-21	15.2	A						
USGS	05427910	2012-10-22	16.6	A						
USGS	05427910	2012-10-23	18.9	A						
USGS	05427910	2012-10-24	17.7	A						
USGS	05427910	2012-10-25	18.4	A						
USGS	05427910	2012-10-26	20.0	A						
USGS	05427910	2012-10-27	17.1	A						
USGS	05427910	2012-10-28	16.2	A						
USGS	05427910	2012-10-29	15.6	A						
USGS	05427910	2012-10-30	13.9	A						
USGS	05427910	2012-10-31	13.4	A						
USGS	05427910	2012-11-01	13.5	A						
USGS	05427910	2012-11-02	13.0	A						
USGS	05427910	2012-11-03	12.7	A						
USGS	05427910	2012-11-04	12.4	A						
USGS	05427910	2012-11-05	12.4	A						
USGS	05427910	2012-11-06	13.3	A						
USGS	05427910	2012-11-07	12.5	A						
USGS	05427910	2012-11-08	13.4	A						
USGS	05427910	2012-11-09	11.9	A						
USGS	05427910	2012-11-10	13.1	A						
USGS	05427910	2012-11-11	18.4	A						
USGS	05427910	2012-11-12	23.6	A						
USGS	05427910	2012-11-13	16.0	A						
USGS	05427910	2012-11-14	14.8	A						
USGS	05427910	2012-11-15	14.3	A						
USGS	05427910	2012-11-16	13.6	A						
USGS	05427910	2012-11-17	12.5	A						
USGS	05427910	2012-11-18	12.4	A						
USGS	05427910	2012-11-19	12.8	A						
USGS	05427910	2012-11-20	13.0	A						
USGS	05427910	2012-11-21	12.7	A						
USGS	05427910	2012-11-22	14.3	A						
USGS	05427910	2012-11-23	11.1	A						
USGS	05427910	2012-11-24	11.8	A						
USGS	05427910	2012-11-25	12.2	A						
USGS	05427910	2012-11-26	11.4	A						
USGS	05427910	2012-11-27	11.2	A						
USGS	05427910	2012-11-28	11.8	A						
USGS	05427910	2012-11-29	11.4	A						
USGS	05427910	2012-11-30	11.2	A						
USGS	05427910	2012-12-01	10.9	A						
USGS	05427910	2012-12-02	11.7	A						
USGS	05427910	2012-12-03	11.4	A						
USGS	05427910	2012-12-04	12.1	A						
USGS	05427910	2012-12-05	10.1	A						
USGS	05427910	2012-12-06	10.1	A						
USGS	05427910	2012-12-07	10.9	A						
USGS	05427910	2012-12-08	10.8	A						
USGS	05427910	2012-12-09	11.1	A						
USGS	05427910	2012-12-10	12.8	A						
USGS	05427910	2012-12-11	12.7	A						
USGS	05427910	2012-12-12	11.3	A						
USGS	05427910	2012-12-13	11.6	A						
USGS	05427910	2012-12-14	11.0	A						
USGS	05427910	2012-12-15	13.7	A						
USGS	05427910	2012-12-16	18.9	A						
USGS	05427910	2012-12-17	16.5	A						
USGS	05427910	2012-12-18	14.7	A						
USGS	05427910	2012-12-19	14.2	A:e						
USGS	05427910	2012-12-20	10.3	A:e						
USGS	05427910	2012-12-21	10.6	A:e						
USGS	05427910	2012-12-22	9.64	A						
USGS	05427910	2012-12-23	11.5	A						
USGS	05427910	2012-12-24	12.2	A						
USGS	05427910	2012-12-25	12.9	A:e						
USGS	05427910	2012-12-26	12.9	A						
USGS	05427910	2012-12-27	13.0	A						
USGS	05427910	2012-12-28	14.0	A:e						
USGS	05427910	2012-12-29	15.0	A:e						
USGS	05427910	2012-12-30	15.0	A:e						
USGS	05427910	2012-12-31	15.0	A:e						
USGS	05427910	2013-01-01	15.0	A:e						
USGS	05427910	2013-01-02	15.0	A:e						
USGS	05427910	2013-01-03	14.0	A:e						
USGS	05427910	2013-01-04	13.7	A						
USGS	05427910	2013-01-05	14.5	A						
USGS	05427910	2013-01-06	14.4	A						
USGS	05427910	2013-01-07	14.6	A						
USGS	05427910	2013-01-08	14.9	A						
USGS	05427910	2013-01-09	15.4	A						
USGS	05427910	2013-01-10	15.3	A						
USGS	05427910	2013-01-11	23.0	A						
USGS	05427910	2013-01-12	35.0	A						
USGS	05427910	2013-01-13	26.3	A						
USGS	05427910	2013-01-14	19.6	A						
USGS	05427910	2013-01-15	17.9	A						
USGS	05427910	2013-01-16	15.9	A						
USGS	05427910	2013-01-17	14.8	A						
USGS	05427910	2013-01-18	14.7	A						
USGS	05427910	2013-01-19	15.1	A						
USGS	05427910	2013-01-20	12.7	A						
USGS	05427910	2013-01-21	13.9	A						
USGS	05427910	2013-01-22	12.7	A						
USGS	05427910	2013-01-23	12.5	A						
USGS	05427910	2013-01-24	14.7	A						
USGS	05427910	2013-01-25	14.3	A						
USGS	05427910	2013-01-26	13.8	A						
USGS	05427910	2013-01-27	17.4	A						
USGS	05427910	2013-01-28	17.7	A						
USGS	05427910	2013-01-29	90.3	A:e						
USGS	05427910	2013-01-30	135	A:e						
USGS	05427910	2013-01-31	76.6	A:e						
USGS	05427910	2013-02-01	62.5	A						
USGS	05427910	2013-02-02	59.2	A						
USGS	05427910	2013-02-03	45.9	A						
USGS	05427910	2013-02-04	36.2	A						
USGS	05427910	2013-02-05	30.8	A						
USGS	05427910	2013-02-06	26.2	A						
USGS	05427910	2013-02-07	24.5	A						
USGS	05427910	2013-02-08	22.5	A						
USGS	05427910	2013-02-09	23.9	A						
USGS	05427910	2013-02-10	29.3	A						
USGS	05427910	2013-02-11	78.2	A						
USGS	05427910	2013-02-12	55.6	A						
USGS	05427910	2013-02-13	46.2	A						
