# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-05 13:58:05 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427718 YAHARA RIVER AT WINDSOR, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427718
#            TS   parameter     statistic     Description
#        154887       00060     00003     Discharge, cubic feet per second (Mean)
#        154888       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)
#        154892       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)
#        154894       00625     00003     Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen (Mean)
#        154896       00608     00003     Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen (Mean)
#        154898       00631     00003     Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen (Mean)
#        154900       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154901       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154902       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154903       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154887_00060_00003	154887_00060_00003_cd	154888_00665_00003	154888_00665_00003_cd	154892_00671_00003	154892_00671_00003_cd	154894_00625_00003	154894_00625_00003_cd	154896_00608_00003	154896_00608_00003_cd	154898_00631_00003	154898_00631_00003_cd	154900_00010_00001	154900_00010_00001_cd	154901_00010_00002	154901_00010_00002_cd	154902_00010_00003	154902_00010_00003_cd	154903_00045_00006	154903_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427718	1976-02-01	12.0	A																		
USGS	05427718	1976-02-02	12.0	A																		
USGS	05427718	1976-02-03	11.0	A																		
USGS	05427718	1976-02-04	11.0	A																		
USGS	05427718	1976-02-05	11.0	A																		
USGS	05427718	1976-02-06	11.0	A																		
USGS	05427718	1976-02-07	11.0	A																		
USGS	05427718	1976-02-08	15.0	A																		
USGS	05427718	1976-02-09	30.0	A																		
USGS	05427718	1976-02-10	40.0	A																		
USGS	05427718	1976-02-11	45.0	A																		
USGS	05427718	1976-02-12	38.0	A																		
USGS	05427718	1976-02-13	28.0	A																		
USGS	05427718	1976-02-14	17.0	A																		
USGS	05427718	1976-02-15	44.0	A																		
USGS	05427718	1976-02-16	27.0	A																		
USGS	05427718	1976-02-17	21.0	A																		
USGS	05427718	1976-02-18	24.0	A																		
USGS	05427718	1976-02-19	21.0	A																		
USGS	05427718	1976-02-20	19.0	A																		
USGS	05427718	1976-02-21	19.0	A																		
USGS	05427718	1976-02-22	18.0	A																		
USGS	05427718	1976-02-23	19.0	A																		
USGS	05427718	1976-02-24	17.0	A																		
USGS	05427718	1976-02-25	19.0	A																		
USGS	05427718	1976-02-26	26.0	A																		
USGS	05427718	1976-02-27	67.0	A																		
USGS	05427718	1976-02-28	74.0	A																		
USGS	05427718	1976-02-29	55.0	A																		
USGS	05427718	1976-03-01	34.0	A																		
USGS	05427718	1976-03-02	25.0	A																		
USGS	05427718	1976-03-03	21.0	A																		
USGS	05427718	1976-03-04	45.0	A																		
USGS	05427718	1976-03-05	203	A																		
USGS	05427718	1976-03-06	252	A																		
USGS	05427718	1976-03-07	150	A																		
USGS	05427718	1976-03-08	100	A																		
USGS	05427718	1976-03-09	82.0	A																		
USGS	05427718	1976-03-10	78.0	A																		
USGS	05427718	1976-03-11	160	A																		
USGS	05427718	1976-03-12	384	A																		
USGS	05427718	1976-03-13	456	A																		
USGS	05427718	1976-03-14	404	A																		
USGS	05427718	1976-03-15	216	A																		
USGS	05427718	1976-03-16	126	A																		
