# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-05 13:59:39 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427850 YAHARA RIVER AT STATE HIGHWAY 113 AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427850
#            TS   parameter     statistic     Description
#        154918       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154919       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154920       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154921       00060     00003     Discharge, cubic feet per second (Mean)
#        154924       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)
#        154926       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154918_00010_00001	154918_00010_00001_cd	154919_00010_00002	154919_00010_00002_cd	154920_00010_00003	154920_00010_00003_cd	154921_00060_00003	154921_00060_00003_cd	154924_00665_00003	154924_00665_00003_cd	154926_00671_00003	154926_00671_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427850	2001-12-27							56.1	A				
USGS	05427850	2001-12-28							55.4	A				
USGS	05427850	2001-12-29							54.3	A				
USGS	05427850	2001-12-30							54.0	A				
USGS	05427850	2001-12-31							53.5	A				
USGS	05427850	2002-01-01	1.5	A	1.5	A	1.5	A	56.0	A:e				
USGS	05427850	2002-01-02	1.5	A	1.5	A	1.5	A	55.0	A:e				
USGS	05427850	2002-01-03	1.5	A	1.0	A	1.5	A	54.0	A:e				
USGS	05427850	2002-01-04	1.0	A	0.5	A	1.0	A	52.6	A				
USGS	05427850	2002-01-05	1.0	A	0.5	A	0.5	A	55.2	A				
USGS	05427850	2002-01-06	1.0	A	0.5	A	0.5	A	53.6	A				
USGS	05427850	2002-01-07	1.0	A	0.5	A	0.5	A	48.5	A				
USGS	05427850	2002-01-08	1.0	A	0.5	A	0.5	A	54.4	A				
USGS	05427850	2002-01-09	1.5	A	0.5	A	1.0	A	61.8	A				
USGS	05427850	2002-01-10	1.5	A	0.5	A	1.0	A	59.6	A				
USGS	05427850	2002-01-11	2.0	A	0.5	A	1.5	A	57.5	A				
USGS	05427850	2002-01-12	1.5	A	1.0	A	1.5	A	55.3	A				
USGS	05427850	2002-01-13	1.5	A	1.0	A	1.0	A	50.4	A				
USGS	05427850	2002-01-14	1.5	A	0.5	A	1.0	A	50.9	A				
USGS	05427850	2002-01-15	1.0	A	0.5	A	0.5	A	47.9	A				
USGS	05427850	2002-01-16	0.5	A	0.0	A	0.5	A	44.4	A				
