# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-05 14:02:57 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427930 DORN (SPRING) CREEK AT CT HIGHWAY M NR WAUNAKEE,WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427930
#            TS   parameter     statistic     Description
#        154946       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154947       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154948       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154952       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154946_00010_00001	154946_00010_00001_cd	154947_00010_00002	154947_00010_00002_cd	154948_00010_00003	154948_00010_00003_cd	154952_00060_00003	154952_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427930	2012-07-04							1.88	A
USGS	05427930	2012-07-05							1.92	A:e
USGS	05427930	2012-07-06							1.91	A
USGS	05427930	2012-07-07							1.95	A:e
USGS	05427930	2012-07-08							1.99	A:e
USGS	05427930	2012-07-09							1.98	A:e
USGS	05427930	2012-07-10							1.96	A:e
USGS	05427930	2012-07-11							1.89	A:e
USGS	05427930	2012-07-12							1.82	A
USGS	05427930	2012-07-13							1.76	A
USGS	05427930	2012-07-14							1.83	A
USGS	05427930	2012-07-15							1.73	A
USGS	05427930	2012-07-16							1.60	A
USGS	05427930	2012-07-17							1.56	A:e
USGS	05427930	2012-07-18							1.72	A
USGS	05427930	2012-07-19							3.54	A
USGS	05427930	2012-07-20							2.42	A
USGS	05427930	2012-07-21							2.07	A
USGS	05427930	2012-07-22							1.76	A
USGS	05427930	2012-07-23							1.60	A
USGS	05427930	2012-07-24							3.21	A
USGS	05427930	2012-07-25							3.63	A
USGS	05427930	2012-07-26							5.08	A
USGS	05427930	2012-07-27							3.61	A
USGS	05427930	2012-07-28							3.16	A
USGS	05427930	2012-07-29							2.90	A
USGS	05427930	2012-07-30							3.41	A
USGS	05427930	2012-07-31							2.51	A
USGS	05427930	2012-08-01							2.18	A
USGS	05427930	2012-08-02							1.80	A
USGS	05427930	2012-08-03							1.59	A
USGS	05427930	2012-08-04							1.62	A:e
USGS	05427930	2012-08-05							1.66	A
USGS	05427930	2012-08-06							1.76	A
USGS	05427930	2012-08-07							1.54	A
USGS	05427930	2012-08-08							1.91	A
USGS	05427930	2012-08-09							3.03	A
USGS	05427930	2012-08-10							3.42	A
USGS	05427930	2012-08-11							2.54	A
USGS	05427930	2012-08-12							2.01	A
USGS	05427930	2012-08-13							2.01	A
USGS	05427930	2012-08-14							1.84	A
USGS	05427930	2012-08-15							1.89	A
USGS	05427930	2012-08-16							2.92	A
USGS	05427930	2012-08-17							2.47	A
USGS	05427930	2012-08-18							2.07	A
USGS	05427930	2012-08-19							2.14	A
USGS	05427930	2012-08-20							2.25	A
USGS	05427930	2012-08-21							2.20	A
USGS	05427930	2012-08-22							2.29	A
USGS	05427930	2012-08-23							2.04	A
USGS	05427930	2012-08-24							2.17	A
USGS	05427930	2012-08-25							2.25	A
USGS	05427930	2012-08-26							2.19	A
USGS	05427930	2012-08-27							2.38	A
USGS	05427930	2012-08-28							2.34	A
USGS	05427930	2012-08-29							2.20	A:e
USGS	05427930	2012-08-30							2.05	A
USGS	05427930	2012-08-31							1.94	A
USGS	05427930	2012-09-01							1.92	A
USGS	05427930	2012-09-02							1.89	A
USGS	05427930	2012-09-03							1.90	A
USGS	05427930	2012-09-04							2.01	A
USGS	05427930	2012-09-05							2.38	A
USGS	05427930	2012-09-06							2.26	A
USGS	05427930	2012-09-07							2.21	A
USGS	05427930	2012-09-08							2.33	A:e
USGS	05427930	2012-09-09							2.41	A
USGS	05427930	2012-09-10							2.45	A
USGS	05427930	2012-09-11							2.48	A
USGS	05427930	2012-09-12							2.32	A
USGS	05427930	2012-09-13							2.27	A:e
USGS	05427930	2012-09-14							2.36	A:e
USGS	05427930	2012-09-15							2.29	A:e
USGS	05427930	2012-09-16							2.26	A
USGS	05427930	2012-09-17							2.28	A:e
USGS	05427930	2012-09-18							2.35	A:e
USGS	05427930	2012-09-19							2.48	A
USGS	05427930	2012-09-20							2.36	A:e
USGS	05427930	2012-09-21							2.42	A:e
USGS	05427930	2012-09-22							2.54	A:e
USGS	05427930	2012-09-23							2.55	A:e
USGS	05427930	2012-09-24							2.54	A:e
USGS	05427930	2012-09-25							2.54	A:e
USGS	05427930	2012-09-26							2.48	A:e
USGS	05427930	2012-09-27							2.44	A:e
USGS	05427930	2012-09-28							2.44	A:e
USGS	05427930	2012-09-29							2.48	A:e
USGS	05427930	2012-09-30							2.45	A:e
USGS	05427930	2012-10-01							2.48	A:e
USGS	05427930	2012-10-02							2.58	A
USGS	05427930	2012-10-03							2.67	A
USGS	05427930	2012-10-04							2.59	A
USGS	05427930	2012-10-05							2.61	A
USGS	05427930	2012-10-06							2.56	A
USGS	05427930	2012-10-07							2.58	A
USGS	05427930	2012-10-08							2.64	A
USGS	05427930	2012-10-09							2.64	A:e
USGS	05427930	2012-10-10							2.67	A
USGS	05427930	2012-10-11							2.60	A
USGS	05427930	2012-10-12							2.68	A
USGS	05427930	2012-10-13							3.92	A
USGS	05427930	2012-10-14							8.34	A
USGS	05427930	2012-10-15							11.0	A
USGS	05427930	2012-10-16							8.48	A
