DateTime,Depth,PHY_TCHLA
2006-06-27,0.5,78.87
2006-06-28,0.5,64.64
2006-06-29,0.5,59.51
2006-06-30,0.5,50.79
2006-07-01,0.5,60.84
2006-07-02,0.5,58.03
2006-07-03,0.5,54.13
2006-07-04,0.5,57.24
2006-07-05,0.5,59.91
2006-07-06,0.5,56.9
2006-07-07,0.5,53.88
2006-07-09,0.5,70.51
2006-07-10,0.5,64.46
2006-07-11,0.5,69.97
2006-07-12,0.5,61.04
2006-07-13,0.5,63.96
2006-07-14,0.5,69.72
2006-07-15,0.5,74.38
2006-07-16,0.5,69.57
2006-07-17,0.5,79.43
2006-07-18,0.5,81.36
2006-07-19,0.5,93.83
2006-07-20,0.5,97.54
2006-07-25,0.5,122.83
2006-07-26,0.5,120.39
2006-07-27,0.5,123.58
2006-07-28,0.5,105.65
2006-07-29,0.5,98.46
2006-07-30,0.5,97.39
2006-07-31,0.5,98.71
2006-08-01,0.5,95.03
2006-08-02,0.5,99.28
2006-08-03,0.5,101.45
2006-08-04,0.5,96.09
2006-08-05,0.5,107.37
2006-08-06,0.5,131.76
2006-08-07,0.5,132.75
2006-08-08,0.5,117.84
2006-08-09,0.5,118.56
2006-08-10,0.5,119.75
2006-08-11,0.5,134.08
2006-08-12,0.5,127.53
2006-08-13,0.5,136.9
2006-08-14,0.5,152.05
2006-08-15,0.5,147.52
2006-08-16,0.5,144.06
2006-08-17,0.5,161.6
2006-08-18,0.5,145
2006-08-19,0.5,124.35
2006-08-20,0.5,113.86
2006-08-21,0.5,119.27
2006-08-22,0.5,113.53
2006-08-23,0.5,96.77
2006-08-24,0.5,106.3
2006-08-25,0.5,99.31
2006-08-26,0.5,102.19
2006-08-27,0.5,99.95
2006-08-28,0.5,103.1
2006-08-29,0.5,116.54
2006-08-30,0.5,134.49
2006-08-31,0.5,166.12
2006-09-01,0.5,258.86
2006-09-02,0.5,571.91
2006-09-03,0.5,1352.04
2006-09-04,0.5,2012.06
2006-09-05,0.5,1524.2
2006-09-06,0.5,112.18
2006-09-07,0.5,107.97
2006-09-08,0.5,119.94
2006-09-09,0.5,124.53
2006-09-10,0.5,117.82
2006-09-11,0.5,111.21
2006-09-12,0.5,113.82
2006-09-13,0.5,103.89
2006-09-14,0.5,97.86
2006-09-15,0.5,112
2006-09-16,0.5,120.67
2006-09-17,0.5,172.67
2006-09-18,0.5,136.85
