# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-04 01:25:47 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427948 PHEASANT BRANCH AT MIDDLETON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427948
#            TS   parameter     statistic     Description
#        154983       00060     00003     Discharge, cubic feet per second (Mean)
#        154986       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)
#        154988       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)
#        154990       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        154991       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        154992       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#        154993       00045     00006     Precipitation, total, inches (Sum)
#        154994       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154995       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154996       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154997       00631     00003     Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen (Mean)
#        154999       00625     00003     Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen (Mean)
#        155001       00608     00003     Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154983_00060_00003	154983_00060_00003_cd	154986_00671_00003	154986_00671_00003_cd	154988_00665_00003	154988_00665_00003_cd	154990_00095_00001	154990_00095_00001_cd	154991_00095_00002	154991_00095_00002_cd	154992_00095_00003	154992_00095_00003_cd	154993_00045_00006	154993_00045_00006_cd	154994_00010_00001	154994_00010_00001_cd	154995_00010_00002	154995_00010_00002_cd	154996_00010_00003	154996_00010_00003_cd	154997_00631_00003	154997_00631_00003_cd	154999_00625_00003	154999_00625_00003_cd	155001_00608_00003	155001_00608_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427948	2003-01-01	1.91	A			0.0750	A																				
USGS	05427948	2003-01-02	1.94	A			0.0750	A																				
USGS	05427948	2003-01-03	1.84	A			0.0740	A																				
USGS	05427948	2003-01-04	1.84	A			0.0730	A																				
USGS	05427948	2003-01-05	1.90	A			0.0720	A																				
USGS	05427948	2003-01-06	1.90	A			0.0720	A																				
USGS	05427948	2003-01-07	1.90	A			0.0710	A																				
USGS	05427948	2003-01-08	2.11	A			0.0700	A																				
USGS	05427948	2003-01-09	2.16	A			0.0700	A																				
USGS	05427948	2003-01-10	1.87	A			0.0690	A																				
USGS	05427948	2003-01-11	1.82	A			0.0680	A																				
USGS	05427948	2003-01-12	1.67	A			0.0670	A																				
USGS	05427948	2003-01-13	1.67	A			0.0670	A																				
USGS	05427948	2003-01-14	1.64	A			0.0660	A																				
USGS	05427948	2003-01-15	1.67	A			0.0650	A																				
USGS	05427948	2003-01-16	1.66	A			0.0650	A																				
USGS	05427948	2003-01-17	1.48	A			0.0640	A																				
USGS	05427948	2003-01-18	1.54	A			0.0640	A																				
USGS	05427948	2003-01-19	1.53	A			0.0630	A																				
USGS	05427948	2003-01-20	1.56	A			0.0620	A																				
USGS	05427948	2003-01-21	1.56	A			0.0620	A																				
USGS	05427948	2003-01-22	1.48	A			0.0610	A																				
USGS	05427948	2003-01-23	1.46	A			0.0610	A																				
USGS	05427948	2003-01-24	1.38	A			0.0610	A																				
USGS	05427948	2003-01-25	1.37	A			0.0610	A																				
USGS	05427948	2003-01-26	1.41	A			0.0600	A																				
USGS	05427948	2003-01-27	1.36	A			0.0600	A																				
USGS	05427948	2003-01-28	1.44	A			0.0600	A																				
USGS	05427948	2003-01-29	1.49	A			0.0600	A																				
USGS	05427948	2003-01-30	1.49	A			0.0600	A																				
USGS	05427948	2003-01-31	1.58	A			0.0600	A																				
USGS	05427948	2003-02-01	1.57	A			0.0600	A																				
USGS	05427948	2003-02-02	1.67	A			0.0590	A																				
USGS	05427948	2003-02-03	1.96	A			0.0590	A																				
USGS	05427948	2003-02-04	1.83	A			0.0590	A																				
USGS	05427948	2003-02-05	1.73	A			0.0590	A																				
USGS	05427948	2003-02-06	1.74	A			0.0590	A																				
USGS	05427948	2003-02-07	1.68	A			0.0590	A																				
USGS	05427948	2003-02-08	1.55	A			0.0590	A																				
USGS	05427948	2003-02-09	1.50	A			0.0590	A																				
