# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-04 01:16:26 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427718 YAHARA RIVER AT WINDSOR, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427718
#            TS   parameter     statistic     Description
#        154887       00060     00003     Discharge, cubic feet per second (Mean)
#        154888       00665     00003     Phosphorus, water, unfiltered, milligrams per liter as phosphorus (Mean)
#        154892       00671     00003     Orthophosphate, water, filtered, milligrams per liter as phosphorus (Mean)
#        154894       00625     00003     Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen (Mean)
#        154896       00608     00003     Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen (Mean)
#        154898       00631     00003     Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen (Mean)
#        154900       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154901       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154902       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154903       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154887_00060_00003	154887_00060_00003_cd	154888_00665_00003	154888_00665_00003_cd	154892_00671_00003	154892_00671_00003_cd	154894_00625_00003	154894_00625_00003_cd	154896_00608_00003	154896_00608_00003_cd	154898_00631_00003	154898_00631_00003_cd	154900_00010_00001	154900_00010_00001_cd	154901_00010_00002	154901_00010_00002_cd	154902_00010_00003	154902_00010_00003_cd	154903_00045_00006	154903_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427718	2003-01-01	14.8	A	0.0480	A																
USGS	05427718	2003-01-02	14.9	A	0.0480	A																
USGS	05427718	2003-01-03	14.7	A	0.0480	A																
USGS	05427718	2003-01-04	14.7	A	0.0480	A																
USGS	05427718	2003-01-05	14.9	A	0.0480	A																
USGS	05427718	2003-01-06	14.6	A	0.0480	A																
USGS	05427718	2003-01-07	15.1	A	0.0480	A																
USGS	05427718	2003-01-08	15.3	A	0.0480	A																
USGS	05427718	2003-01-09	15.4	A	0.0480	A																
USGS	05427718	2003-01-10	13.8	A	0.0480	A																
USGS	05427718	2003-01-11	15.0	A:e	0.0470	A																
USGS	05427718	2003-01-12	14.9	A	0.0470	A																
USGS	05427718	2003-01-13	14.7	A	0.0470	A																
USGS	05427718	2003-01-14	14.6	A	0.0460	A																
USGS	05427718	2003-01-15	15.1	A	0.0460	A																
USGS	05427718	2003-01-16	15.7	A	0.0460	A																
USGS	05427718	2003-01-17	14.7	A	0.0450	A																
USGS	05427718	2003-01-18	15.0	A	0.0450	A																
USGS	05427718	2003-01-19	15.4	A	0.0450	A																
USGS	05427718	2003-01-20	15.0	A:e	0.0440	A																
USGS	05427718	2003-01-21	14.0	A:e	0.0440	A																
USGS	05427718	2003-01-22	14.0	A:e	0.0440	A																
USGS	05427718	2003-01-23	14.0	A:e	0.0430	A																
USGS	05427718	2003-01-24	14.0	A:e	0.0430	A																
USGS	05427718	2003-01-25	14.0	A:e	0.0430	A																
USGS	05427718	2003-01-26	14.0	A:e	0.0420	A																
USGS	05427718	2003-01-27	14.0	A:e	0.0420	A																
USGS	05427718	2003-01-28	14.0	A:e	0.0420	A																
USGS	05427718	2003-01-29	14.0	A:e	0.0420	A																
USGS	05427718	2003-01-30	14.0	A:e	0.0410	A																
USGS	05427718	2003-01-31	15.0	A:e	0.0410	A																
USGS	05427718	2003-02-01	14.0	A:e	0.0410	A																
USGS	05427718	2003-02-02	14.0	A:e	0.0400	A																
USGS	05427718	2003-02-03	14.0	A:e	0.0400	A																
USGS	05427718	2003-02-04	13.0	A:e	0.0400	A																
USGS	05427718	2003-02-05	13.0	A:e	0.0400	A																
USGS	05427718	2003-02-06	13.0	A:e	0.0390	A																
USGS	05427718	2003-02-07	12.0	A:e	0.0390	A																
USGS	05427718	2003-02-08	15.0	A:e	0.0390	A																
USGS	05427718	2003-02-09	15.0	A:e	0.0380	A																
USGS	05427718	2003-02-10	14.8	A	0.0380	A																
USGS	05427718	2003-02-11	15.8	A	0.0380	A																
USGS	05427718	2003-02-12	15.9	A	0.0380	A																
USGS	05427718	2003-02-13	15.5	A	0.0370	A																
USGS	05427718	2003-02-14	14.6	A	0.0370	A																
USGS	05427718	2003-02-15	13.7	A	0.0370	A																
USGS	05427718	2003-02-16	14.2	A	0.0370	A																
USGS	05427718	2003-02-17	14.0	A:e	0.0360	A																
USGS	05427718	2003-02-18	14.2	A	0.0360	A																
USGS	05427718	2003-02-19	14.0	A	0.0370	A																
USGS	05427718	2003-02-20	14.6	A	0.0370	A																
USGS	05427718	2003-02-21	15.4	A	0.0370	A																
USGS	05427718	2003-02-22	14.7	A	0.0380	A																
USGS	05427718	2003-02-23	14.6	A	0.0390	A																
USGS	05427718	2003-02-24	13.1	A	0.0390	A																
